"adjudicated_sample_id","source_branch","source_file","source_sheet","source_sheet_rows","source_sheet_rows_model","sample_id_raw","sample_id_base","ring","feather_type_raw","feather_type","is_repeat_assay","amount_mg","cn_mass_ratio","sex","tag_id_adjusted","tag_id_raw_examples","status","status_bin","migratory_status_comment","longitude_capture","latitude_capture","status_known","source_phenotype_row_ids","source_phenotype_row_count","sample_identifier_examples","n_retained_assay_rows","n_model_contributing_rows","adjudication_method","assay_qc_variant_name","assay_qc_manual_review_pending","assay_qc_manual_review_reason","assay_qc_manual_review_notes","raw_normalised_d13c","raw_normalised_d15n","audit_normalised_d13c","audit_normalised_d15n","adjudicated_normalised_d13c","adjudicated_normalised_d15n","source_measurement_ids_normalised_d13c","source_measurement_ids_normalised_d15n","source_measurement_ids_model_normalised_d13c","source_measurement_ids_model_normalised_d15n","assay_qc_variant_row_action_normalised_d13c","assay_qc_variant_row_action_normalised_d15n","assay_qc_action_normalised_d13c","assay_qc_action_normalised_d15n","assay_qc_reason_normalised_d13c","assay_qc_reason_normalised_d15n","assay_qc_evidence_source_normalised_d13c","assay_qc_evidence_source_normalised_d15n","assay_qc_decision_ids_normalised_d13c","assay_qc_decision_ids_normalised_d15n","assay_qc_repeat_pair_detected_normalised_d13c","assay_qc_repeat_pair_detected_normalised_d15n","assay_qc_repeat_detection_sources_normalised_d13c","assay_qc_repeat_detection_sources_normalised_d15n","assay_qc_repeat_detection_pattern_normalised_d13c","assay_qc_repeat_detection_pattern_normalised_d15n","assay_qc_repeat_resolution_status_normalised_d13c","assay_qc_repeat_resolution_status_normalised_d15n","assay_qc_contributes_to_model_value_normalised_d13c","assay_qc_contributes_to_model_value_normalised_d15n","assay_qc_model_source_rows_normalised_d13c","assay_qc_model_source_rows_normalised_d15n","source_measurement_ids"
"live_model_CP16461_2024.10.07_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","23","23","CP16461_2024-10-07_primary feather","CP16461_2024-10-07_primary feather","CP16461","primary","Primary",FALSE,0.348,3.29660863121138,"M",,,"resident","resident","Ailsa observation April 14",173.681777,-42.390193,TRUE,"live_pheno_070|live_pheno_092",2,"CP16461_2024-10-07",1,1,"single_raw","sensitivity",FALSE,,,-14.485979789623,11.6689730444186,-14.485979789623,11.6689730444186,-14.485979789623,11.6689730444186,"live_measurement_0024","live_measurement_0023","live_measurement_0024","live_measurement_0023","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"23","23","live_measurement_0023|live_measurement_0024"
"live_model_CP16470_2024.10.08_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","24|25","24|25","CP16470_2024-10-08_breast feather|CP16470_2024-10-08_breast feather_rpt","CP16470_2024-10-08_breast feather","CP16470","breast","Breast",TRUE,0.244,3.40050268705047,"M",,,"resident","resident","Ailsa observation April 22",173.663729,-42.413163,TRUE,"live_pheno_071|live_pheno_093",2,"CP16470_2024-10-08",2,2,"lab_green_average","sensitivity",FALSE,,,-20.1855223087705,11.8090707413693,-20.1855223087705,11.8090707413693,-20.1855223087705,11.8090707413693,"live_measurement_0026|live_measurement_0028","live_measurement_0025|live_measurement_0027","live_measurement_0026|live_measurement_0028","live_measurement_0025|live_measurement_0027","include","include","keep","keep","Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.","Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.","sheet note|green average","sheet note|green average","aqc_0009|aqc_0010","aqc_0007|aqc_0008",TRUE,TRUE,"green formatting|_rpt suffix","green formatting|_rpt suffix","all_rows_green","all_rows_green","resolved_use_average","resolved_use_average",TRUE,TRUE,"24|25","24|25","live_measurement_0025|live_measurement_0027|live_measurement_0026|live_measurement_0028"
"live_model_CP16470_2024.10.08_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","26","26","CP16470_2024-10-08_primary feather","CP16470_2024-10-08_primary feather","CP16470","primary","Primary",FALSE,0.304,3.3511710644874,"M",,,"resident","resident","Ailsa observation April 22",173.663729,-42.413163,TRUE,"live_pheno_071|live_pheno_093",2,"CP16470_2024-10-08",1,1,"single_raw","sensitivity",FALSE,,,-14.5829328684553,14.7703700885168,-14.5829328684553,14.7703700885168,-14.5829328684553,14.7703700885168,"live_measurement_0030","live_measurement_0029","live_measurement_0030","live_measurement_0029","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"26","26","live_measurement_0029|live_measurement_0030"
"live_model_CP16501_2024.10.05_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","27","27","CP16501_2024-10-05_breast feather","CP16501_2024-10-05_breast feather","CP16501","breast","Breast",FALSE,0.235,3.35261396777322,"M","266467","266467","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year",173.031797,-41.120263,TRUE,"live_pheno_072|live_pheno_094",2,"CP16501_2024-10-05",1,1,"single_raw","sensitivity",FALSE,,,-14.3823997627521,13.3340336737951,-14.3823997627521,13.3340336737951,-14.3823997627521,13.3340336737951,"live_measurement_0032","live_measurement_0031","live_measurement_0032","live_measurement_0031","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"27","27","live_measurement_0031|live_measurement_0032"
"live_model_CP16501_2024.10.05_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","28","28","CP16501_2024-10-05_primary feather","CP16501_2024-10-05_primary feather","CP16501","primary","Primary",FALSE,0.221,3.44177313189043,"M","266467","266467","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year",173.031797,-41.120263,TRUE,"live_pheno_072|live_pheno_094",2,"CP16501_2024-10-05",1,1,"single_raw","sensitivity",FALSE,,,-14.7425014773667,11.7608367044499,-14.7425014773667,11.7608367044499,-14.7425014773667,11.7608367044499,"live_measurement_0034","live_measurement_0033","live_measurement_0034","live_measurement_0033","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"28","28","live_measurement_0033|live_measurement_0034"
"live_model_CP16507_2024.10.22_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","29","29","CP16507_2024-10-22_breast feather","CP16507_2024-10-22_breast feather","CP16507","breast","Breast",FALSE,0.272,3.36469086103228,"F","0AA1","0AA1","resident","resident","the lightlogger on the GPS tag revealed that the bird remained at Lake Ellesmere over the winter",172.601856,-43.830575,TRUE,"live_pheno_073|live_pheno_095",2,"CP16507_2024-10-22",1,1,"single_raw","sensitivity",FALSE,,,-23.0949341161739,12.4186358248271,-23.0949341161739,12.4186358248271,-23.0949341161739,12.4186358248271,"live_measurement_0036","live_measurement_0035","live_measurement_0036","live_measurement_0035","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"29","29","live_measurement_0035|live_measurement_0036"
"live_model_CP16507_2024.10.22_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","30","30","CP16507_2024-10-22_primary feather","CP16507_2024-10-22_primary feather","CP16507","primary","Primary",FALSE,0.266,3.38600413691432,"F","0AA1","0AA1","resident","resident","the lightlogger on the GPS tag revealed that the bird remained at Lake Ellesmere over the winter",172.601856,-43.830575,TRUE,"live_pheno_073|live_pheno_095",2,"CP16507_2024-10-22",1,1,"single_raw","sensitivity",FALSE,,,-22.3483351915414,13.3089619458985,-22.3483351915414,13.3089619458985,-22.3483351915414,13.3089619458985,"live_measurement_0038","live_measurement_0037","live_measurement_0038","live_measurement_0037","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"30","30","live_measurement_0037|live_measurement_0038"
"live_model_CP16529_2024.10.12_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","31","31","CP16529_2024-10-12_breast feather","CP16529_2024-10-12_breast feather","CP16529","breast","Breast",FALSE,0.21,3.43426646916526,"F",,,"AU migrant","migrant","Resighting at Shoalhaven Heads, New South Wales on February 27",170.48481,-43.880201,TRUE,"live_pheno_003|live_pheno_020",2,"CP16529_2024-10-12",1,1,"single_raw","sensitivity",FALSE,,,-15.7312208958752,14.3719613890335,-15.7312208958752,14.3719613890335,-15.7312208958752,14.3719613890335,"live_measurement_0040","live_measurement_0039","live_measurement_0040","live_measurement_0039","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"31","31","live_measurement_0039|live_measurement_0040"
"live_model_CP16529_2024.10.12_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","32","32","CP16529_2024-10-12_primary feather","CP16529_2024-10-12_primary feather","CP16529","primary","Primary",FALSE,0.201,3.48768447430857,"F",,,"AU migrant","migrant","Resighting at Shoalhaven Heads, New South Wales on February 27",170.48481,-43.880201,TRUE,"live_pheno_003|live_pheno_020",2,"CP16529_2024-10-12",1,1,"single_raw","sensitivity",FALSE,,,-23.0117911594374,7.4861809588657,-23.0117911594374,7.4861809588657,-23.0117911594374,7.4861809588657,"live_measurement_0042","live_measurement_0041","live_measurement_0042","live_measurement_0041","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"32","32","live_measurement_0041|live_measurement_0042"
"live_model_CP16533_2024.10.11_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","33|34","33|34","CP16533_2024-10-11_breast feather|CP16533_2024-10-11_breast feather_rpt","CP16533_2024-10-11_breast feather","CP16533","breast","Breast",TRUE,0.221,3.34357721035238,"F","266448","266448","AU migrant","migrant","PTT revealed this bird attempting trans-Tasman migration twice (departures: March 12 and March 24), with the 2nd attempt failing",170.143316,-43.733096,TRUE,"live_pheno_004|live_pheno_021",2,"CP16533_2024-10-11",2,2,"lab_green_average","sensitivity",FALSE,,,-24.042665172555,10.4110709464009,-24.042665172555,10.4110709464009,-24.042665172555,10.4110709464009,"live_measurement_0044|live_measurement_0046","live_measurement_0043|live_measurement_0045","live_measurement_0044|live_measurement_0046","live_measurement_0043|live_measurement_0045","include","include","keep","keep","Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.","Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.","sheet note|green average","sheet note|green average","aqc_0013|aqc_0014","aqc_0011|aqc_0012",TRUE,TRUE,"green formatting|_rpt suffix","green formatting|_rpt suffix","all_rows_green","all_rows_green","resolved_use_average","resolved_use_average",TRUE,TRUE,"33|34","33|34","live_measurement_0043|live_measurement_0045|live_measurement_0044|live_measurement_0046"
"live_model_CP16533_2024.10.11_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","35","35","CP16533_2024-10-11_primary feather","CP16533_2024-10-11_primary feather","CP16533","primary","Primary",FALSE,0.249,3.3656449754767,"F","266448","266448","AU migrant","migrant","PTT revealed this bird attempting trans-Tasman migration twice (departures: March 12 and March 24), with the 2nd attempt failing",170.143316,-43.733096,TRUE,"live_pheno_004|live_pheno_021",2,"CP16533_2024-10-11",1,1,"single_raw","sensitivity",FALSE,,,-23.7924654296182,3.44517843553491,-23.7924654296182,3.44517843553491,-23.7924654296182,3.44517843553491,"live_measurement_0048","live_measurement_0047","live_measurement_0048","live_measurement_0047","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"35","35","live_measurement_0047|live_measurement_0048"
"live_model_CP16534_2024.10.11_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","36","36","CP16534_2024-10-11_breast feather","CP16534_2024-10-11_breast feather","CP16534","breast","Breast",FALSE,0.227,3.39119566664249,"M","266373","266373","AU migrant","migrant","PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)",170.145302,-43.731722,TRUE,"live_pheno_005|live_pheno_022",2,"CP16534_2024-10-11",1,1,"single_raw","sensitivity",FALSE,,,-10.2603025349417,10.5236576148647,-10.2603025349417,10.5236576148647,-10.2603025349417,10.5236576148647,"live_measurement_0050","live_measurement_0049","live_measurement_0050","live_measurement_0049","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"36","36","live_measurement_0049|live_measurement_0050"
"live_model_CP16534_2024.10.11_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","37","37","CP16534_2024-10-11_primary feather","CP16534_2024-10-11_primary feather","CP16534","primary","Primary",FALSE,0.24,3.36211062479384,"M","266373","266373","AU migrant","migrant","PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)",170.145302,-43.731722,TRUE,"live_pheno_005|live_pheno_022",2,"CP16534_2024-10-11",1,1,"single_raw","sensitivity",FALSE,,,-22.870401252807,3.09469860215485,-22.870401252807,3.09469860215485,-22.870401252807,3.09469860215485,"live_measurement_0052","live_measurement_0051","live_measurement_0052","live_measurement_0051","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"37","37","live_measurement_0051|live_measurement_0052"
"live_model_CP16536_2024.10.10_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","39","39","CP16536_2024-10-10_primary feather","CP16536_2024-10-10_primary feather","CP16536","primary","Primary",FALSE,0.218,3.42793128898946,"M","266428","266428","SI migrant","migrant","PTT revealed this bird wintering at Farewell Spit (arrival: Jan 2, departure: Sep 2)",170.144062,-43.736643,TRUE,"live_pheno_049|live_pheno_059",2,"CP16536_2024-10-10",1,1,"single_raw","sensitivity",FALSE,,,-22.7585099728686,5.76142460136077,-22.7585099728686,5.76142460136077,-22.7585099728686,5.76142460136077,"live_measurement_0056","live_measurement_0055","live_measurement_0056","live_measurement_0055","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"39","39","live_measurement_0055|live_measurement_0056"
"live_model_CP16536_2024.10.11_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","38","38","CP16536_2024-10-11_breast feather","CP16536_2024-10-11_breast feather","CP16536","breast","Breast",FALSE,0.224,3.41653617281785,"M","266428","266428","SI migrant","migrant","PTT revealed this bird wintering at Farewell Spit (arrival: Jan 2, departure: Sep 2)",170.144062,-43.736643,TRUE,"live_pheno_049|live_pheno_059",2,"CP16536_2024-10-10",1,1,"single_raw","sensitivity",FALSE,,,-15.617931624941,13.6422268824368,-15.617931624941,13.6422268824368,-15.617931624941,13.6422268824368,"live_measurement_0054","live_measurement_0053","live_measurement_0054","live_measurement_0053","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"38","38","live_measurement_0053|live_measurement_0054"
"live_model_CP16543_2024.10.04_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","40","40","CP16543_2024-10-04_breast feather","CP16543_2024-10-04_breast feather","CP16543","breast","Breast",FALSE,0.191,3.44163530874813,"F","266466","266466","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year (except for a brief 2 day foray to Takaka in mid-December)",173.033468,-41.123473,TRUE,"live_pheno_074|live_pheno_096",2,"CP16543_2024-10-04",1,1,"single_raw","sensitivity",FALSE,,,-14.0446412953552,12.7463740136981,-14.0446412953552,12.7463740136981,-14.0446412953552,12.7463740136981,"live_measurement_0058","live_measurement_0057","live_measurement_0058","live_measurement_0057","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"40","40","live_measurement_0057|live_measurement_0058"
